0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,12,13,13,13,13,13,13,13,13,13,13,13,13,14,0,
0,24,25,25,25,25,25,25,25,25,25,25,25,25,26,0,
0,24,25,25,25,25,25,25,25,25,25,25,25,25,26,0,
0,24,25,96,97,98,25,25,25,25,25,25,25,25,26,0,
0,24,25,108,109,110,25,25,25,25,25,25,25,25,26,0,
0,24,25,120,121,122,25,25,25,25,25,25,25,25,26,0,
0,24,25,25,25,25,25,25,25,25,25,25,25,25,26,0,
0,24,25,25,25,25,25,25,25,25,25,25,25,25,26,0,
0,24,25,25,25,25,25,25,25,25,25,25,25,25,26,0,
0,36,37,37,37,37,37,37,37,37,37,37,37,37,38,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
